DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-04-23T00:53:41+00:00,38.8122,-122.8245,2.6,0.9,Md,,97.2,0.00898315,0.08,nc,nc71975765,1366678524788
2013-04-23T00:52:12+00:00,38.8327,-122.8135,2.3,0.8,Md,,180,0.00898315,0.04,nc,nc71975755,1366678434614
2013-04-23T00:42:35+00:00,38.834,-122.8055,2.6,1.2,Md,,50.4,0.00898315,0.06,nc,nc71975745,1366677853554
2013-04-23T00:41:44+00:00,63.9446,-149.0731,0.3,1.5,Ml,,,,0.75,ak,ak10700844,1366678256356
2013-04-23T00:39:52+00:00,38.8282,-122.8015,2.8,1,Md,,86.4,0.00898315,0.06,nc,nc71975740,1366677693294
2013-04-23T00:38:26+00:00,63.1753,-150.3676,109.5,1.2,Ml,,,,0.25,ak,ak10700842,1366677851929
2013-04-23T00:34:00+00:00,38.8382,-122.8008,2,0.4,Md,,86.4,0.00898315,0.04,nc,nc71975730,1366677342642
2013-04-23T00:20:26+00:00,38.5128,-122.6067,7.2,2.4,Md,,183.6,0.26051143,0.16,nc,nc71975725,1366676647402
2013-04-23T00:08:30+00:00,36.6767,-116.0485,7.74,0.2,ml,10,174,0.041,0.11,nn,nn00410043,1366675797483
2013-04-23T00:03:49+00:00,36.1343,-117.8543,2.2,1.4,Ml,10,151.2,0.01796631,0.13,ci,ci15331129,1366675612325
2013-04-22T23:49:39+00:00,19.611,-155.0705,14.9,2.3,Ml,,111.6,0.08983153,0.12,hv,hv60491896,1366674925242
2013-04-22T23:40:47+00:00,-29.8058,-176.2114,9.88,5.5,mb,140,44,1.6,0.79,us,usb000gdx0,1366676374311
2013-04-22T23:39:18+00:00,61.5983,-146.4594,40,1.4,Ml,,,,0.54,ak,ak10700646,1366674890542
2013-04-22T23:36:20+00:00,34.0443,-116.3442,2.9,1.4,Ml,29,57.6,0.04491576,0.28,ci,ci15331113,1366673928912
2013-04-22T23:29:41+00:00,38.7738,-122.967,6.3,1.4,Md,,108,0.03593261,0.09,nc,nc71975715,1366676230654
2013-04-22T23:02:15+00:00,64.9647,-147.3407,0.1,1.4,Ml,,,,0.52,ak,ak10700623,1366672334615
2013-04-22T22:40:14+00:00,38.8325,-122.8057,2.5,1.2,Md,,46.8,0.00898315,0.05,nc,nc71975700,1366673230385
2013-04-22T22:34:04+00:00,38.8448,-122.7943,1.8,0.3,Md,,140.4,0.00898315,0.01,nc,nc71975695,1366672448887
2013-04-22T22:33:52+00:00,63.4471,-151.1937,4.3,1.4,Ml,,,,0.79,ak,ak10700601,1366670840855
2013-04-22T22:28:47+00:00,47.641,20.2518,10.09,4.5,mb,70,23,0.37,0.97,us,usb000gdw3,1366674359791
2013-04-22T21:58:56+00:00,36.5612,-121.0742,6.9,1.9,Md,,75.6,0.03593261,0.09,nc,nc71975675,1366671191594
2013-04-22T21:56:54+00:00,61.4428,-151.6969,95.7,1.8,Ml,,,,1.04,ak,ak10700545,1366668233682
2013-04-22T21:54:49+00:00,30.2425,103.1819,9.98,4.8,mb,57,70,5.46,0.78,us,usb000gdve,1366670877856
2013-04-22T21:47:05+00:00,38.8052,-122.7502,1.2,0.9,Md,,86.4,0.01796631,0.05,nc,nc71975670,1366667324628
2013-04-22T21:43:58+00:00,47.9398,-119.8523,1.1,0.6,Md,,97.2,0.00898315,0.12,uw,uw60520557,1366670037588
2013-04-22T21:38:41+00:00,38.834,-122.799,2.4,0.9,Md,,100.8,0.00898315,0.03,nc,nc71975655,1366669929356
2013-04-22T21:28:29+00:00,38.829,-122.8052,2.3,0.9,Md,,57.6,0.00898315,0.05,nc,nc71975645,1366666212522
2013-04-22T21:26:01+00:00,38.8348,-122.8028,2.4,0.7,Md,,75.6,0.00898315,0.05,nc,nc71975635,1366668667090
2013-04-22T21:22:54+00:00,52.086,-172.324,35,3,Ml,,,,0.5,ak,ak10700472,1366669855764
2013-04-22T21:20:22+00:00,33.506,-116.4498,8.8,1.1,Ml,22,104.4,0.02694946,0.16,ci,ci15331097,1366665806515
2013-04-22T21:19:37+00:00,38.8273,-122.8045,2.5,1.8,Md,,54,0.01796631,0.07,nc,nc71975630,1366668010869
2013-04-22T21:15:36+00:00,37.4542,-121.7762,6.6,1.6,Md,,61.2,0.01796631,0.06,nc,nc71975620,1366675561055
2013-04-22T21:12:52+00:00,38.815,-122.8165,2.6,0.6,Md,,61.2,0.00898315,0.06,nc,nc71975615,1366665275767
2013-04-22T21:10:49+00:00,64.4262,-148.8006,23.8,1.1,Ml,10,100.8,,0.4,ak,ak10700444,1366665809471
2013-04-22T21:07:02+00:00,18.1382,-67.3075,31,2.1,Md,4,201.6,0.21290072,0.05,pr,pr13112002,1366666742974
2013-04-22T21:06:08+00:00,38.8342,-122.8003,2.2,0.6,Md,,75.6,0.00898315,0.03,nc,nc71975605,1366664870021
2013-04-22T21:05:44+00:00,38.8298,-122.8015,2.2,1,Md,,43.2,0.00898315,0.06,nc,nc71975600,1366664844978
2013-04-22T21:04:02+00:00,-34.2122,179.3841,137.71,4.5,mb,34,143,3.46,1.23,us,usb000gdux,1366668995599
