DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-05-20T23:57:12.000+00:00,63.45,-148.291,5.5,1.6,Ml,,,,0.8,ak,ak10720946,1.3691E+12
2013-05-20T23:52:59.000+00:00,61.337,-152.069,81.4,2.1,Ml,,,,1.15,ak,ak10720941,1.36909E+12
2013-05-20T23:49:15.100+00:00,19.99,-155.426,38.2,2.2,Md,,133,0.1,0.11,hv,hv60501711,1.3691E+12
2013-05-20T23:46:36.000+00:00,60.498,-142.974,4.2,2.3,Ml,,,,0.43,ak,ak10720934,1.36909E+12
2013-05-20T23:44:07.000+00:00,64.997,-147.444,,1.7,Ml,,,,0.69,ak,ak10720933,1.36909E+12
2013-05-20T23:38:17.000+00:00,60.484,-142.985,3.9,1.3,Ml,,,,0.72,ak,ak10720928,1.36909E+12
2013-05-20T23:34:12.400+00:00,36.038,-117.813,0.1,1.6,Ml,12,94,0,0.14,ci,ci15346729,1.36909E+12
2013-05-20T23:33:43.440+00:00,18.72,-62.815,25.5,4.7,mb,49,143,0.7,1.26,us,usb000h0bv,1.3691E+12
2013-05-20T23:25:20.500+00:00,35.703,-121.114,8,1.2,Md,,68,0,0.04,nc,nc71995076,1.36909E+12
2013-05-20T23:07:34.960+00:00,2.77,128.617,229.4,4.7,mb,33,94,2.4,0.72,us,usb000h0c6,1.36909E+12
2013-05-20T23:01:25.480+00:00,52.426,160.223,17.4,5.3,mb,38,150,1.1,1,us,usb000h0bf,1.3691E+12
2013-05-20T22:59:58.000+00:00,36.613,-121.234,4.9,1.1,Md,,108,0.1,0.1,nc,nc71995056,1.36909E+12
2013-05-20T22:51:47.120+00:00,52.425,160.127,43.8,4.8,mb,75,150,1.1,1.45,us,usb000h0b5,1.36909E+12
2013-05-20T22:48:40.570+00:00,35.424,26.598,26.3,4,mb,34,148,0.5,1.49,us,usb000h0aq,1.36909E+12
2013-05-20T22:48:18.350+00:00,11.017,-86.692,41.4,4.2,mb,17,208,1.8,0.49,us,usb000h0b0,1.3691E+12
2013-05-20T22:36:27.310+00:00,52.47,160.195,40,4.6,mb,53,150,1.1,1.31,us,usb000h0ai,1.36909E+12
2013-05-20T22:13:36.000+00:00,63.052,-149.666,61.7,1.3,Ml,,,,0.83,ak,ak10720876,1.36909E+12
2013-05-20T22:13:09.000+00:00,52.288,-175.945,200.6,2.1,Ml,,,,0.14,ak,ak10720873,1.36909E+12
2013-05-20T22:10:47.000+00:00,60.23,-150.505,41.5,1.5,Ml,,,,0.35,ak,ak10720869,1.36909E+12
2013-05-20T22:09:33.600+00:00,18.964,-67.293,14,3,Md,7,306,0.5,0.28,pr,pr13140006,1.3691E+12
2013-05-20T21:38:56.000+00:00,60.915,-146.914,20,1,Ml,,,,,ak,ak10720854,1.36909E+12
2013-05-20T21:37:39.000+00:00,49.451,-120.522,,2.2,Md,,212,0.6,0.43,uw,uw60531957,1.36909E+12
2013-05-20T21:11:20.900+00:00,37.327,-122.103,,1.7,Md,,50,0,0.09,nc,nc71995021,1.36912E+12
2013-05-20T20:57:48.900+00:00,38.948,-123.034,4.4,1.7,Md,,122,0.1,0.04,nc,nc71995006,1.36909E+12
2013-05-20T20:50:20.300+00:00,19.518,-66.345,40,3,Md,6,292,1.2,0.09,pr,pr13140005,1.36909E+12
2013-05-20T20:17:07.200+00:00,38.82,-122.762,2.3,1,Md,,86,0,0.05,nc,nc71994996,1.36908E+12
2013-05-20T20:13:54.890+00:00,52.319,160.315,32.2,5,mb,134,132,1.2,0.6,us,usb000h062,1.36908E+12
2013-05-20T20:08:01.800+00:00,44.934,-123.394,27.3,1.5,Md,,101,0.3,0.21,uw,uw60531922,1.36909E+12
2013-05-20T19:55:54.900+00:00,35.887,-120.437,11.2,1.3,Md,,58,0,0.06,nc,nc71994981,1.36909E+12
2013-05-20T19:36:26.200+00:00,38.826,-122.798,3.1,1.1,Md,,54,0,0.06,nc,nc71994966,1.36908E+12
2013-05-20T19:24:11.300+00:00,38.84,-122.772,2.4,1.2,Md,,119,,0.03,nc,nc71994956,1.36908E+12
2013-05-20T19:12:25.100+00:00,37.664,-118.88,4.8,1.1,Md,,104,0,0.06,nc,nc71994946,1.36909E+12
2013-05-20T18:48:20.320+00:00,37.349,141.234,37.5,4.4,mb,30,173,2.6,0.3,us,usb000h03g,1.36908E+12
2013-05-20T18:47:15.300+00:00,38.839,-122.785,1.8,1,Md,,61,0,0.05,nc,nc71994926,1.36908E+12
2013-05-20T18:37:18.500+00:00,34.018,-116.676,10.2,1.4,Ml,37,58,0,0.19,ci,ci15346633,1.36908E+12
2013-05-20T18:29:53.000+00:00,61.345,-147.407,49.4,1,Ml,5,115,,0.16,ak,ak10720766,1.36907E+12
2013-05-20T18:27:51.100+00:00,38.811,-122.81,2.6,1.1,Md,,90,0,0.04,nc,nc71994921,1.36907E+12
2013-05-20T18:08:48.580+00:00,52.34,160.452,40.1,4.7,mb,73,164,1.3,0.88,us,usb000h02d,1.36908E+12
2013-05-20T17:51:07.100+00:00,34.284,-116.771,1.3,1.6,Ml,47,54,0.1,0.19,ci,ci15346585,1.36907E+12
2013-05-20T17:45:13.900+00:00,33.719,-116.752,18.8,1,Ml,28,58,0,0.21,ci,ci15346577,1.36907E+12
2013-05-20T17:45:02.000+00:00,61.288,-147.707,14.4,1.2,Ml,8,115,,0.64,ak,ak10720737,1.36907E+12
2013-05-20T17:20:54.000+00:00,63.16,-152.431,16,1.5,Ml,,,,1.08,ak,ak10720719,1.36907E+12
2013-05-20T17:18:23.800+00:00,38.813,-122.829,2.8,2,Md,,32,,0.06,nc,nc71994871,1.3691E+12
2013-05-20T17:18:11.800+00:00,36.493,70.429,207.7,5,mb,75,66,2.3,0.85,us,usb000gzzr,1.36907E+12
2013-05-20T17:16:00.700+00:00,36.662,-121.296,14.7,1.3,Md,,126,0,0.14,nc,nc71994866,1.36908E+12
2013-05-20T16:59:47.800+00:00,38.833,-122.878,2.1,1.3,Md,,126,0,0.07,nc,nc71994831,1.36907E+12
2013-05-20T16:51:31.500+00:00,37.578,-118.889,3.1,1.3,Md,,162,0,0.04,nc,nc71994821,1.36907E+12
2013-05-20T16:44:16.000+00:00,63.332,-145.382,6.4,1.4,Ml,,,,0.14,ak,ak10720692,1.36907E+12
