行业代码,行业名称,平均劳动报酬,平均教育经费
10000,农林牧渔业,22475,143
10100,农业,17542,230
10300,畜牧业,27958,308
10310,牲畜的饲养,25636,196
20000,采矿业,43713,44
20800,黑色金属矿采选业,43895,42
20810,铁矿采选,43895,42
30000,制造业,38505,305
31300,农副食品加工业,24693,162
31350,屠宰及肉类加工,24693,162
31400,食品制造业,34142,65
31420,糖果巧克力及蜜饯制造,42835,93
31430,方便食品制造,29351,38
31440,液体乳及乳制品制造,23401,168
31450,罐头制造,26214,13
31460,调味品发酵制品制造,57663,858
31490,其他食品制造,48287,190
31500,饮料制造业,14357,247
31520,酒的制造,14357,247
31700,纺织业,29395,109
31710,棉化纤纺织及印染精加工,28390,298
31750,纺织制成品制造,32978,196
31760,针织品编织品及其制品制造,21421,100
31800,纺织服装鞋帽制造业,21845,31
31810,纺织服装制造,22022,35
32100,家具制造业,25122,80
32130,金属家具制造,19860,55
32200,造纸及纸制品业,20306,67
32230,纸制品制造,19728,72
32300,印刷业和记录媒介的复制,47890,431
32310,印刷,54122,535
32600,化学原料及化学制品制造业,34124,332
32640,涂料油墨颜料及类似产品制造,24450,342
32660,专用化学产品制造,39247,30
32670,日用化学产品制造,32735,470
32700,医药制造业,44787,768
32710,化学药品原药制造,32550,555
32720,化学药品制剂制造,41649,72
32730,中药饮片加工,43784,466
32740,中成药制造,60962,12645
32760,生物生化制品的制造,48564,105
32770,卫生材料及医药用品制造,20545,95
32800,化学纤维制造业,41365,582
32820,合成纤维制造,39845,31
33000,塑料制品业,20450,166
33020,塑料板管型材的制造,18966,389
33050,塑料人造革合成革制造,21830,2
33090,其他塑料制品制造,27830,374
33100,非金属矿物制品业,23053,7
33140,玻璃及玻璃制品制造,25542,10
33200,黑色金属冶炼及压延加工业,29280,100
33230,钢压延加工,29280,100
33300,有色金属冶炼及压延加工业,46379,66
33350,有色金属压延加工,46379,66
33400,金属制品业,29112,147
33410,结构性金属制品制造,26052,146
33420,金属工具制造,41003,92
33430,集装箱及金属包装容器制造,21268,50
33490,其他金属制品制造,49299,422
33500,通用设备制造业,46932,196
33520,金属加工机械制造,59276,147
33530,起重运输设备制造,28680,159
33540,泵阀门压缩机及类似机械的制造,51948,125
33550,轴承齿轮传动和驱动部件的制造,35561,27
33560,烘炉熔炉及电炉制造,51700,161
33580,通用零部件制造及机械修理,30366,340
33600,专用设备制造业,49393,422
33610,矿山冶金建筑专用设备制造,59519,486
33620,化工木材非金属加工专用设备制造,54908,830
33650,纺织服装和皮革工业专用设备制造,23563,2
33670,农林牧渔专用机械制造,18979,200
33700,交通运输设备制造业,53069,144
33720,汽车制造,58939,168
33790,交通器材及其他交通运输设备制造,21491,212
33900,电气机械及器材制造业,44821,461
33910,电机制造,44382,502
33920,输配电及控制设备制造,58673,149
33930,电线电缆光缆及电工器材制造,24121,89
33950,家用电力器具制造,21576,46
33990,其他电气机械及器材制造,68835,679
34000,通信设备计算机及其他电子设备制造业,54555,554
34010,通信设备制造,40134,722
34040,电子计算机制造,121582,890
34050,电子器件制造,65803,995
34060,电子元件制造,45261,405
34090,其他电子设备制造,46305,110
34100,仪器仪表及文化办公用机械制造业,37899,416
34110,通用仪器仪表制造,20207,75
34120,专用仪器仪表制造,39624,184
34150,文化办公用机械制造,74348,818
34200,工艺品及其他制造业,45323,317
34210,工艺美术品制造,29833,182
34290,其他未列明的制造业,29248,738
34300,废弃资源和废旧材料回收加工业,39842,32
34310,金属废料和碎屑的加工处理,37251,210
40000,电力燃气及水的生产和供应业,33776,840
44500,燃气生产和供应业,33776,840
50000,建筑业,129721,299
54700,房屋和土木工程建筑业,150098,75
54710,房屋工程建筑,29552,402
54800,建筑安装业,32562,111
54900,建筑装饰业,23153,1469
55000,其他建筑业,26617,304
60000,交通运输仓储和邮政业,29367,118
65200,道路运输业,27122,76
65210,公路旅客运输,26356,55
65220,道路货物运输,44228,557
65700,装卸搬运和其他运输服务业,33915,100
65720,运输代理服务,33915,100
70000,信息传输计算机服务和软件业,66315,524
76000,电信和其他信息传输服务业,68037,295
76020,互联网信息服务,52814,522
76030,广播电视传输服务,59283,455
76100,计算机服务业,66701,645
76190,其他计算机服务,59610,571
76200,软件业,59924,692
76210,公共软件服务,52820,832
